Product Name,product_id,price_current,price_compare_at,category,sub_category,short_description,inventory_count,usp_badges,narrative_block_1_text,narrative_block_2_text,material_details,dimensions_specs,related_product_ids,rating_average,review_count,faq_data
"1 Pack Adjustable Height Center Support Leg for Bed Frame,Bed Center Slat Heavy Extra Durable Steel Support Legs | Suitable for Bed Frame,Cabinet and Wooden Furniture",NS-HM-011,333,415.41,Home Furnishings,Decor & Accents,"A deeply comforting 1 pack adjustable height center support leg for bed frame,bed center slat heavy extra durable steel support legs | suitable for bed frame,cabinet and wooden furniture designed to ground your space and promote a parasympathetic response.",30,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-026', 'NS-HM-004', 'NS-HM-081']",4.7,564,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
Ashvah Round Wood Coaster SetÃ‚Â Ã‚Â (Pack of 4),NS-DE-012,37,44.01,Dining & Entertaining,Table Linens,A precision-engineered ashvah round wood coaster setÃ¢Â Ã¢Â (pack of 4) designed for restorative and effortless culinary experiences.,117,"['Non-Toxic', 'Precision Engineered', 'Built to Last']","Masterful Craftsmanship: Built with uncompromising attention to detail, ensuring long-lasting performance and a timeless Japandi aesthetic.","Restorative Routine: Elevates your daily preparation into a calming ritual, fostering peace and intentionality.","['Premium Materials', 'Ethically Sourced']","['Standard Dimensions', 'Optimized Weight']","['NS-DE-074', 'NS-DE-074', 'NS-DE-040']",4.9,252,"[{'q': 'Is this easy to clean?', 'a': 'Yes, designed for effortless maintenance.'}, {'q': 'Does it come with a warranty?', 'a': 'Yes, a lifetime warranty covers manufacturing defects.'}]"
"FRIENDS HOME DECOR Microfiber Floor MatÃ‚Â Ã‚Â (Red, Medium)",NS-HM-013,133,165.11,Home Furnishings,Decor & Accents,"A deeply comforting friends home decor microfiber floor matÃ¢Â Ã¢Â (red, medium) designed to ground your space and promote a parasympathetic response.",17,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-064', 'NS-HM-065', 'NS-HM-016']",4.7,511,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"VCD 214 cm (7 ft) Polyester Room Darkening Door Curtain (Pack Of 2)Ã‚Â Ã‚Â (3D Printed, Black)",NS-HM-014,345,409.13,Home Furnishings,Decor & Accents,"A deeply comforting vcd 214 cm (7 ft) polyester room darkening door curtain (pack of 2)Ã¢Â Ã¢Â (3d printed, black) designed to ground your space and promote a parasympathetic response.",28,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-030', 'NS-HM-012', 'NS-HM-088']",4.6,895,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"JrWall ART Engineered Wood Home TempleÃ‚Â Ã‚Â (Height: 35.5, DIY(Do-It-Yourself))",NS-HM-015,305,365.87,Home Furnishings,Decor & Accents,"A deeply comforting jrwall art engineered wood home templeÃ¢Â Ã¢Â (height: 35.5, diy(do-it-yourself)) designed to ground your space and promote a parasympathetic response.",120,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-072', 'NS-HM-050', 'NS-HM-082']",4.5,646,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Mellow 2 Inch Ventilated Memory Foam Mattress Topper, Soothing Lavender Infusion, CertiPUR-US Certified, Queen",NS-HM-016,138,155.94,Home Furnishings,Decor & Accents,"A deeply comforting mellow 2 inch ventilated memory foam mattress topper, soothing lavender infusion, certipur-us certified, queen designed to ground your space and promote a parasympathetic response.",42,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-033', 'NS-HM-012', 'NS-HM-019']",4.9,242,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
GXFC ZHAO Welcome Funny Door Mat Shoes and Bras Off Please Personalized Doormat with Anti-Slip Rubber Back (23.6 X 15.7 inch) Prank Gift Home Decor Area Rugs for The Entrance Way Indoor Novelty Mats,NS-HF-017,34,42.44,Home Furnishings,Rugs & Mats,A deeply comforting gxfc zhao welcome funny door mat shoes and bras off please personalized doormat with anti-slip rubber back (23.6 x 15.7 inch) prank gift home decor area rugs for the entrance way indoor novelty mats designed to ground your space and promote a parasympathetic response.,91,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HF-030', 'NS-HF-002', 'NS-HF-080']",4.7,631,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
MAEPA RV Shoe Storage for Bedside - 8 Extra Large Pockets - Dark Grey Rv Shoe Organizer with RV Shoe Pockets - Hanging Bedside Storage for RV Camper Bed Length35.4inches/2.95ft(Dark Grey),NS-HM-018,326,421.17,Home Furnishings,Decor & Accents,A deeply comforting maepa rv shoe storage for bedside - 8 extra large pockets - dark grey rv shoe organizer with rv shoe pockets - hanging bedside storage for rv camper bed length35.4inches/2.95ft(dark grey) designed to ground your space and promote a parasympathetic response.,99,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-070', 'NS-HM-064', 'NS-HM-051']",4.7,114,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"kitchDeco 251 TC Microfiber Double 3D Printed Flat BedsheetÃ‚Â Ã‚Â (Pack of 1, Purple)",NS-HM-019,141,169.88,Home Furnishings,Decor & Accents,"A deeply comforting kitchdeco 251 tc microfiber double 3d printed flat bedsheetÃ¢Â Ã¢Â (pack of 1, purple) designed to ground your space and promote a parasympathetic response.",83,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-070', 'NS-HM-013', 'NS-HM-073']",5,477,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Themushyco Self Design Double Mink Blanket for  Heavy WinterÃ‚Â Ã‚Â (Polyester, Maroon)",NS-HF-020,144,163.57,Home Furnishings,Throws & Blankets,"A deeply comforting themushyco self design double mink blanket for  heavy winterÃ¢Â Ã¢Â (polyester, maroon) designed to ground your space and promote a parasympathetic response.",93,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HF-083', 'NS-HF-041', 'NS-HF-020']",4.7,808,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Stylista Top Loading Washing Machine  CoverÃ‚Â Ã‚Â (Width: 61 cm, Multi, Beige)",NS-HM-021,81,95.89,Home Furnishings,Decor & Accents,"A deeply comforting stylista top loading washing machine  coverÃ¢Â Ã¢Â (width: 61 cm, multi, beige) designed to ground your space and promote a parasympathetic response.",45,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-041', 'NS-HM-019', 'NS-HM-056']",4.8,108,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Black Leather Office Chair Mid Back Leather Desk Chair Modern Excutive Office Chair with Arms and Wheels for Home Office, by Artswish",NS-HM-022,332,391.8,Home Furnishings,Decor & Accents,"A deeply comforting black leather office chair mid back leather desk chair modern excutive office chair with arms and wheels for home office, by artswish designed to ground your space and promote a parasympathetic response.",67,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-080', 'NS-HM-072', 'NS-HM-035']",4.4,94,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Wellynap Computer Desk,31.5 inches Folding Table Computer Desk for Small Spaces Home Office, Gaming Desk Computer Table, No Install Needed, Modern Simple Style Laptop Table, Teak & Black",NS-HM-023,98,126.05,Home Furnishings,Decor & Accents,"A deeply comforting wellynap computer desk,31.5 inches folding table computer desk for small spaces home office, gaming desk computer table, no install needed, modern simple style laptop table, teak & black designed to ground your space and promote a parasympathetic response.",57,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-002', 'NS-HM-059', 'NS-HM-054']",4.7,408,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
NOVELTY Blend Touch 5 inch King Bonded Foam MattressÃ‚Â Ã‚Â (L x W: 75 inch x 72 inch),NS-HM-024,86,105.86,Home Furnishings,Decor & Accents,A deeply comforting novelty blend touch 5 inch king bonded foam mattressÃ¢Â Ã¢Â (l x w: 75 inch x 72 inch) designed to ground your space and promote a parasympathetic response.,73,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-036', 'NS-HM-003', 'NS-HM-014']",4.6,402,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"Furnistar 15.9 inch Modern Round Velvet Storage Ottoman with Gold Plating Base, Upholstered Footrest Makeup Stool for Bedroom Living Room, Grey(Ship from US)",NS-CW-025,56,70.47,Cookware,Bakeware,"A precision-engineered furnistar 15.9 inch modern round velvet storage ottoman with gold plating base, upholstered footrest makeup stool for bedroom living room, grey(ship from us) designed for restorative and effortless culinary experiences.",73,"['Non-Toxic', 'Precision Engineered', 'Built to Last']","Masterful Craftsmanship: Built with uncompromising attention to detail, ensuring long-lasting performance and a timeless Japandi aesthetic.","Restorative Routine: Elevates your daily preparation into a calming ritual, fostering peace and intentionality.","['Premium Materials', 'Ethically Sourced']","['Standard Dimensions', 'Optimized Weight']","['NS-CW-021', 'NS-CW-004', 'NS-CW-076']",4.7,488,"[{'q': 'Is this easy to clean?', 'a': 'Yes, designed for effortless maintenance.'}, {'q': 'Does it come with a warranty?', 'a': 'Yes, a lifetime warranty covers manufacturing defects.'}]"
"Casanest Printed 10 Seater Table CoverÃ‚Â Ã‚Â (Multicolor, PVC)",NS-HM-026,344,401.22,Home Furnishings,Decor & Accents,"A deeply comforting casanest printed 10 seater table coverÃ¢Â Ã¢Â (multicolor, pvc) designed to ground your space and promote a parasympathetic response.",77,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-032', 'NS-HM-025', 'NS-HM-074']",4.8,97,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"140 TC Cotton Double Printed BedsheetÃ‚Â Ã‚Â (Pack of 1, Multicolor)",NS-HM-027,130,161.43,Home Furnishings,Decor & Accents,"A deeply comforting 140 tc cotton double printed bedsheetÃ¢Â Ã¢Â (pack of 1, multicolor) designed to ground your space and promote a parasympathetic response.",98,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-022', 'NS-HM-066', 'NS-HM-058']",4.9,578,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"roman 213.36 cm (7 ft) Polyester Semi Transparent Door Curtain (Pack Of 3)Ã‚Â Ã‚Â (Floral, Blue)",NS-HM-028,269,339.8,Home Furnishings,Decor & Accents,"A deeply comforting roman 213.36 cm (7 ft) polyester semi transparent door curtain (pack of 3)Ã¢Â Ã¢Â (floral, blue) designed to ground your space and promote a parasympathetic response.",65,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-052', 'NS-HM-021', 'NS-HM-048']",4.6,694,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
"HOMBEAUTY Front Loading Washing Machine  CoverÃ‚Â Ã‚Â (Width: 61 cm, White, Black)",NS-HM-029,245,292.25,Home Furnishings,Decor & Accents,"A deeply comforting hombeauty front loading washing machine  coverÃ¢Â Ã¢Â (width: 61 cm, white, black) designed to ground your space and promote a parasympathetic response.",78,"['Organic Materials', 'Hypoallergenic', 'Heirloom Quality']","The Material Story: Crafted from the finest sustainable fibers, offering a perfectly balanced tactile experience that feels like a gentle embrace.","Designed for Restoration: The textural depth and organic structure provide sensory comfort, softening beautifully with every use.","['100% Natural Fibers', 'Non-toxic Dyes']","['Standard Dimensions', 'Optimized Weight']","['NS-HM-039', 'NS-HM-077', 'NS-HM-083']",4.8,918,"[{'q': 'How should I care for this?', 'a': 'Follow standard care instructions to maintain its integrity.'}, {'q': 'Is the material sustainably sourced?', 'a': 'Absolutely, we only use ethically harvested materials.'}]"
